task_id,flow_id,task_type,dataset_id,predictive_accuracy,setup_string,flow_class
2,65,Supervised Classification,2,0.94098,weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1,trees
16,62,Supervised Classification,16,0.1945,weka.classifiers.trees.DecisionStump,trees
10,60,Supervised Classification,10,0.783784,weka.classifiers.trees.J48 -- -C 0.25 -M 2,trees
35,59,Supervised Classification,35,0.855191,weka.classifiers.rules.JRip -- -F 3 -N 2.0 -O 2 -S 1,rules
39,62,Supervised Classification,40,0.706731,weka.classifiers.trees.DecisionStump,trees
28,74,Supervised Classification,28,0.942171,weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1,functions
22,56,Supervised Classification,22,0.1,weka.classifiers.rules.ZeroR,rules
3,74,Supervised Classification,3,0.974343,weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1,functions
38,65,Supervised Classification,39,0.824405,weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1,trees
52,67,Supervised Classification,53,0.822222,weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5,Bayes
47,66,Supervised Classification,48,0.642384,"weka.classifiers.lazy.IBk -- -K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",Lazy
52,59,Supervised Classification,53,0.785185,weka.classifiers.rules.JRip -- -F 3 -N 2.0 -O 2 -S 1,rules
58,57,Supervised Classification,60,0.5338,weka.classifiers.rules.OneR -- -B 6,rules
31,70,Supervised Classification,31,0.751,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0""",functions
12,59,Supervised Classification,12,0.889,weka.classifiers.rules.JRip -- -F 3 -N 2.0 -O 2 -S 1,rules
26,76,Supervised Classification,26,0.972454,weka.classifiers.meta.Bagging -- -P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,meta
13,74,Supervised Classification,13,0.695804,weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1,functions
9,65,Supervised Classification,9,0.829268,weka.classifiers.trees.RandomForest -- -I 10 -K 0 -S 1 -num-slots 1,trees
29,72,Supervised Classification,29,0.855072,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01""",functions
51,60,Supervised Classification,52,0.9,weka.classifiers.trees.J48 -- -C 0.25 -M 2,trees
